O Portal é fácil de usar.;É fácil localizar os dados e as informações no Portal.;A navegação pelo Portal é intuitiva.;O Portal funciona sem falhas.;As informações são fáceis de entender.;As informações são precisas.;As informações disponibilizadas estão atualizadas.;Consigo obter o que preciso no menor tempo possível.;Qual o seu nível de satisfação com o Portal da Transparência do RS?;Deixe aqui seus comentários, avaliações ou sugestões sobre o Portal da Transparência do RS.;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;34;Pós-Graduação;Não
Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;;Masculino;33;Ensino Superior;Sim
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;;;;;;;;;;
Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Satisfeito;;Masculino;24;Curso Técnico;Sim
Concordo totalmente;Concordo;Concordo;Concordo;;;;;;;;;;
Concordo totalmente;;;;;;;Concordo;;;;;;
Discordo;Concordo;Indiferente;Concordo;Concordo;Não sei;Concordo;Discordo;Satisfeito;;Feminino;25;Ensino Médio;Não
Discordo;Concordo;Concordo;Concordo;;;;;;;;;;
Discordo;Discordo;Indiferente;Discordo totalmente;Discordo;Concordo;Indiferente;Discordo;Indiferente;;Masculino;38;Curso Técnico;Não
Discordo;Discordo;Indiferente;Discordo;Discordo;Concordo;Concordo;Discordo;Insatisfeito;;Masculino;54;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Indiferente;Insatisfeito;;Feminino;48;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo totalmente;Insatisfeito;;Masculino;42;Pós-Graduação;Sim
Discordo;Discordo;Indiferente;Discordo;;;;;;;;;;
Discordo;Discordo;Discordo;Discordo;;;;;;;;;;
Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Indiferente;Discordo totalmente;Discordo totalmente;Satisfeito;;Feminino;30;Ensino Fundamental I (até a 5ª série/5º ano);Não
Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Insatisfeito;Não consegui acessar o salário dos servidores do MP;Feminino;46;Ensino Superior;Não
Discordo;Discordo;Discordo;Indiferente;Concordo;Não sei;Não sei;Discordo;Insatisfeito;;;;;
Discordo;Discordo;Indiferente;Concordo totalmente;Indiferente;Indiferente;Concordo totalmente;Indiferente;Indiferente;"Tive alguma dificuldade para obter dados no portal e ele é bastante lento. A unificação de dados do Executivo, Legislativo e Judiciário é muito bem vinda, não são todos os estados que possuem. Eu utilizei os dados para criar um portal paralelo que vocês podem verificar no link abaixo. Se tiverem interesse posso aprofundar em alguns pontos de melhoria e quem saber ter uma parceria melhor para melhorar o meu também, que busca centralizar dados de todo o Brasil.
https://brasiltransparente.digital/

Podem entrar em contato com: brasiltransparente@pm.me";Masculino;30;Ensino Superior;Não
Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Muito insatisfeito;"FALTA DE ClarEZA DO Mapa e respectivamente respostas
";Feminino;53;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Muito insatisfeito;;Feminino;44;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Indiferente;Concordo;Discordo totalmente;Muito insatisfeito;Muito difícil de acessar. Parece que é de propósito para dificultar que o cidadão consiga ver os absurdos salariais desses governos incompetentes.;Masculino;72;Ensino Superior;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Muito insatisfeito;;Feminino;29;;Sim
Discordo totalmente;Discordo;Discordo totalmente;Discordo;Indiferente;Concordo;Concordo;Discordo totalmente;Muito insatisfeito;Não é otimizado para aparelhos móveis.;Masculino;18;Ensino Médio;Não
Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Muito insatisfeito;portal não carrega direito.;Prefiro não responder;18;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Insatisfeito;sugiro que voltem a fazer como antes, no antigo portal - onde tinha a classificação por cidade e não como fizeram agora, tudo junto - virou uma bagunça, um exemplo é o assistente educacional - especialidade: interação com o educando - antes era separado por cidade, dai sabia a informação correta, agora é todos juntos. Separado melhora a informação pública.;Masculino;31;Curso Técnico;Sim
Indiferente;;;;;;;;;;;;;
Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;;Masculino;22;Ensino Médio;Não
Indiferente;Discordo;Discordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;;;;;;
Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Discordo totalmente;Muito insatisfeito;Já foi melhor. Parece que os dados estão sendo restringidos.;;;;
Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Muito insatisfeito;Portal de transparência só serve pro governo legitimar a não participação;Masculino;35;Ensino Superior;Sim
Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;;;;;
Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;;Masculino;36;Pós-Graduação;Sim
Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;;Prefiro não responder;43;Ensino Médio;Não
Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Não sei;Não sei;Não sei;Satisfeito;;Masculino;23;Ensino Superior;Não
Não sei;;;;Indiferente;Indiferente;Indiferente;Discordo;Satisfeito;;Feminino;64;Pós-Graduação;Não
Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;;;;;
Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Muito satisfeito;;;;;
Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Não sei;;Indiferente;;;;;
Não sei;Não sei;Não sei;Não sei;;;;;;;;;;
