O Portal é fácil de usar.;É fácil localizar os dados e as informações no Portal.;A navegação pelo Portal é intuitiva.;O Portal funciona sem falhas.;As informações são fáceis de entender.;As informações são precisas.;As informações disponibilizadas estão atualizadas.;Consigo obter o que preciso no menor tempo possível.;Qual o seu nível de satisfação com o Portal da Transparência do RS?;Deixe aqui seus comentários, avaliações ou sugestões sobre o Portal da Transparência do RS.;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?;Media_Respostas;Num_Respostas_Validas
3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;Masculino;22.0;Ensino Médio;Não;3.0;9
3.0;2.0;1.0;4.0;5.0;4.0;4.0;5.0;;;;;;;3.5;8
3.0;3.0;2.0;3.0;3.0;3.0;4.0;1.0;;Já foi melhor. Parece que os dados estão sendo restringidos.;;;;;2.75;8
;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Portal de transparência só serve pro governo legitimar a não participação;Masculino;35.0;Ensino Superior;Sim;1.0;7
;;;;;;;;3.0;;;;;;3.0;1
;;;;;;;;3.0;;Masculino;36.0;Pós-Graduação;Sim;3.0;1
;;;;;;;;3.0;;Prefiro não responder;43.0;Ensino Médio;Não;3.0;1
;;;;5.0;;;;;;Masculino;23.0;Ensino Superior;Não;5.0;1
;;;;3.0;3.0;3.0;2.0;;;Feminino;64.0;Pós-Graduação;Não;2.75;4
;;;;;;;;3.0;;;;;;3.0;1
;;;;;;;;;;;;;;;0
;;;;2.0;2.0;;;3.0;;;;;;2.3333333333333335;3
;;;;;;;;;;;;;;;0
