O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Discordo;Discordo;Discordo totalmente;Concordo totalmente;Discordo;Indiferente;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Indiferente;Feminino;62;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Concordo;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Indiferente;Indiferente;Discordo totalmente;Não sei;Concordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Insatisfeito;Feminino;30;Pós-Graduação;Não
Discordo totalmente;Discordo totalmente;Indiferente;Não sei;Não sei;Não sei;Não sei;Discordo;Concordo;Não sei;Discordo totalmente;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Discordo;Não sei;Não sei;Insatisfeito;Masculino;32;Pós-Graduação;Sim
Não sei;Discordo;Discordo;Não sei;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Insatisfeito;Masculino;44;Pós-Graduação;Sim
Concordo totalmente;Discordo;Concordo;Concordo totalmente;Concordo;Indiferente;Indiferente;Discordo;Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo totalmente;Indiferente;Discordo;Concordo;Discordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo;Concordo;Discordo totalmente;Indiferente;Masculino;43;Ensino Superior;Sim
Concordo totalmente;Discordo;Discordo;Concordo;Concordo;Discordo;Indiferente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo;Indiferente;Discordo;Insatisfeito;Feminino;39;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Indiferente;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Indiferente;Concordo;Não sei;Não sei;Satisfeito;Masculino;45;Pós-Graduação;Sim
Discordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Satisfeito;Masculino;34;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo;Concordo;Discordo;Concordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Não sei;Não sei;Não sei;Indiferente;Feminino;54;Pós-Graduação;Sim
Discordo;Discordo totalmente;Discordo totalmente;Concordo totalmente;Discordo;Concordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Concordo;Discordo;Insatisfeito;Masculino;30;Pós-Graduação;Sim
Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo totalmente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;40;Pós-Graduação;Sim
Concordo;Discordo totalmente;Discordo;Concordo;Concordo;Não sei;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Discordo;Não sei;Não sei;Concordo;Discordo;Não sei;Discordo;Discordo;Discordo totalmente;Não sei;Não sei;Indiferente;Não sei;Insatisfeito;Feminino;37;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Não sei;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Não sei;Satisfeito;Masculino;51;Pós-Graduação;Sim
Concordo totalmente;Não sei;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Não sei;Concordo;Concordo;Concordo totalmente;Não sei;Indiferente;Discordo;Concordo totalmente;Não sei;Indiferente;Concordo totalmente;Concordo;Concordo;Concordo;Não sei;Concordo totalmente;Não sei;Muito satisfeito;Feminino;50;Pós-Graduação;Sim
Não sei;Discordo;Discordo;Não sei;Concordo;Discordo;Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Muito insatisfeito;Masculino;44;Pós-Graduação;Sim
Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Concordo totalmente;Indiferente;Concordo;Concordo totalmente;Indiferente;Concordo;Indiferente;Concordo;Discordo totalmente;Indiferente;Indiferente;Discordo totalmente;Indiferente;Indiferente;Discordo;Discordo;Discordo totalmente;Discordo;Indiferente;Discordo;Indiferente;Insatisfeito;Masculino;34;Ensino Superior;Não
Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Indiferente;Indiferente;Não sei;Não sei;Não sei;Satisfeito;Feminino;50;Pós-Graduação;Sim
Não sei;Discordo;Não sei;Não sei;Discordo;Discordo totalmente;Não sei;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Indiferente;Discordo;Discordo totalmente;Não sei;Discordo totalmente;Indiferente;Masculino;46;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Não sei;Não sei;Muito insatisfeito;Masculino;51;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Não sei;Concordo;Concordo;Não sei;Discordo;Concordo;Não sei;Concordo;Concordo;Concordo;Discordo;Não sei;Não sei;Concordo;Discordo;Satisfeito;Masculino;34;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Não sei;Discordo;Concordo;Não sei;Discordo;Discordo;Não sei;Concordo;Concordo;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Concordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;55;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Concordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Indiferente;Não sei;Não sei;Discordo;Não sei;Insatisfeito;Masculino;46;Pós-Graduação;Sim
Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Muito insatisfeito;Feminino;38;Ensino Superior;Sim
Discordo;Discordo;Discordo;Concordo totalmente;Concordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Não sei;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;42;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Não sei;Concordo;Discordo;Não sei;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Discordo;Concordo;Discordo;Não sei;Concordo totalmente;Discordo;Satisfeito;Feminino;44;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Concordo totalmente;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Concordo;Concordo;Discordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Insatisfeito;Masculino;45;Pós-Graduação;Sim
Discordo totalmente;Concordo;Concordo;Concordo totalmente;Discordo;Não sei;Não sei;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Não sei;Não sei;Não sei;Insatisfeito;Feminino;55;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Insatisfeito;Feminino;55;Pós-Graduação;Sim
Indiferente;Discordo;Discordo;Indiferente;Discordo;Não sei;Não sei;Discordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Não sei;Não sei;Indiferente;Discordo;Discordo;Indiferente;Não sei;Discordo;Indiferente;Indiferente;Não sei;Concordo;Não sei;Indiferente;Feminino;37;Pós-Graduação;Sim
Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Satisfeito;Feminino;58;Ensino Superior;Sim
Discordo;Indiferente;Indiferente;Concordo;Concordo;Concordo totalmente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo;Não sei;Concordo totalmente;Concordo;Não sei;Satisfeito;Masculino;39;Ensino Superior;Sim
Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Discordo totalmente;Discordo;Não sei;Discordo;Discordo;Não sei;Insatisfeito;Feminino;47;Pós-Graduação;Sim
Discordo;Concordo;Concordo;Não sei;Discordo;Indiferente;Discordo totalmente;Discordo;Discordo;Indiferente;Discordo;Discordo;Indiferente;Discordo;Não sei;Discordo totalmente;Concordo;Discordo totalmente;Não sei;Não sei;Discordo;Discordo;Discordo totalmente;Não sei;Concordo;Discordo totalmente;Indiferente;Masculino;40;Pós-Graduação;Sim
Discordo;Indiferente;Discordo;Indiferente;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo totalmente;Discordo;Indiferente;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Insatisfeito;Feminino;41;Pós-Graduação;Sim
Indiferente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Indiferente;Indiferente;Indiferente;Discordo;Discordo totalmente;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Feminino;29;Ensino Superior;Não
Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Indiferente;Discordo;Insatisfeito;Feminino;38;Ensino Superior;Sim
Concordo;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Discordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo totalmente;Não sei;Concordo;Concordo;Indiferente;Concordo;Não sei;Concordo;Concordo;Concordo;Satisfeito;Masculino;35;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Concordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Discordo;Insatisfeito;Feminino;28;Pós-Graduação;Não
Discordo;Não sei;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Não sei;Não sei;Discordo;Discordo;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;43;Pós-Graduação;Sim
Concordo totalmente;Discordo;Discordo;Concordo;Concordo;Não sei;Não sei;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo totalmente;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Insatisfeito;Feminino;41;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Não sei;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Insatisfeito;Feminino;36;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Não sei;Discordo;Concordo;Concordo;Discordo;Concordo;Não sei;Concordo;;;;Não sei;;Concordo;Não sei;Não sei;Discordo;Discordo;Indiferente;Não sei;;;;Indiferente;Feminino;45;Pós-Graduação;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Indiferente;Concordo;Discordo;Indiferente;Discordo;Não sei;Não sei;Não sei;Discordo;Não sei;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Não sei;Insatisfeito;Masculino;46;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Satisfeito;Masculino;57;Pós-Graduação;Sim
Concordo;Discordo;Discordo;Concordo;Concordo;Não sei;Concordo;Discordo totalmente;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Concordo;Não sei;Insatisfeito;Feminino;40;Pós-Graduação;Sim
Concordo totalmente;Indiferente;Indiferente;Indiferente;Concordo;Não sei;Concordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;46;Pós-Graduação;Sim
Concordo totalmente;Indiferente;Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Indiferente;Discordo;Discordo totalmente;Concordo;Discordo;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Indiferente;Indiferente;Indiferente;Masculino;42;Pós-Graduação;Sim
Não sei;Concordo;Concordo;Não sei;Discordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Não sei;Concordo;Satisfeito;Feminino;25;Pós-Graduação;Sim
Discordo;Discordo totalmente;Discordo;Não sei;Discordo;Não sei;Discordo;Discordo totalmente;Discordo totalmente;Não sei;Discordo;Discordo;Discordo;Discordo totalmente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Discordo totalmente;Não sei;Muito insatisfeito;Masculino;41;Pós-Graduação;Sim
Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo totalmente;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Indiferente;Não sei;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo totalmente;Concordo totalmente;Satisfeito;Masculino;56;Pós-Graduação;Sim
Indiferente;Discordo;Discordo;Indiferente;Discordo;Concordo totalmente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Indiferente;Indiferente;Discordo totalmente;Insatisfeito;Masculino;37;Ensino Superior;Não
Discordo;Discordo;Discordo;Não sei;Discordo;Não sei;Não sei;Discordo;Discordo;Não sei;Indiferente;Não sei;Indiferente;Não sei;Não sei;Não sei;Indiferente;Não sei;Indiferente;Discordo;Discordo;Discordo;Não sei;Não sei;Indiferente;Não sei;Indiferente;Feminino;41;Pós-Graduação;Sim
Concordo;Concordo totalmente;Discordo;Não sei;Não sei;Concordo;Concordo;Discordo;Concordo;Não sei;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Discordo totalmente;Não sei;Discordo;Não sei;Discordo;Discordo totalmente;Discordo;Não sei;Não sei;Discordo totalmente;Insatisfeito;Masculino;57;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;39;Pós-Graduação;Sim
Indiferente;Discordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Masculino;30;Pós-Graduação;Não
Discordo;Discordo totalmente;Discordo totalmente;Concordo totalmente;Discordo;Concordo;Concordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não sei;Discordo;Discordo;Concordo;Não sei;Concordo;Não sei;Não sei;Discordo;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Concordo;Não sei;Insatisfeito;Masculino;50;Pós-Graduação;Sim
Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Indiferente;Discordo totalmente;Discordo;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Discordo;Discordo;Discordo;Indiferente;Concordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Insatisfeito;Masculino;35;Pós-Graduação;Sim
Discordo;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Indiferente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Indiferente;Insatisfeito;Feminino;41;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Discordo;Discordo;Concordo totalmente;Concordo totalmente;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Concordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo totalmente;Indiferente;Satisfeito;Masculino;19;Ensino Médio;Não
Indiferente;Indiferente;Indiferente;Discordo totalmente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo totalmente;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Discordo totalmente;Concordo totalmente;Concordo;Indiferente;Indiferente;Masculino;26;Pós-Graduação;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Feminino;32;Ensino Superior;Não
Concordo totalmente;Concordo;Concordo totalmente;Concordo;;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Discordo;Concordo;Discordo;Satisfeito;Feminino;24;Ensino Superior;Não
Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Não sei;Satisfeito;Feminino;23;Curso Técnico;Não
